0:0:0:0:0:0:0:1 - - [21/May/2018:13:46:11 +0900] "GET /miamiburger/css/miamiburger.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:13:46:11 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:13:46:13 +0900] "GET /miamiburger/images/burger.jpg HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [21/May/2018:13:55:51 +0900] "GET /miamiburger/HomeAction.action HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [21/May/2018:13:55:51 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:13:55:51 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:13:55:51 +0900] "GET /miamiburger/images/burger.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:03 +0900] "GET /miamiburger/ HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:09 +0900] "GET /miamiburger/StartAction.action HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:09 +0900] "GET /miamiburger/css/miamiburger.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:09 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:09 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:13 +0900] "GET /miamiburger/images/burger.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:14 +0900] "GET /miamiburger/images/search.jpg HTTP/1.1" 200 2593
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:16 +0900] "GET /miamiburger/HomeAction.action HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:16 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:19 +0900] "GET /miamiburger/CartAction.action HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:19 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:21 +0900] "GET /miamiburger/ProductInfoAction.action HTTP/1.1" 200 12564
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:21 +0900] "GET /miamiburger/css/productInfo.css HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:21 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:21 +0900] "GET /miamiburger/css/footer.css HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:21 +0900] "GET /miamiburger/js/smoothscroll.js HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:21 +0900] "GET /miamiburger/images/menutile.jpg HTTP/1.1" 200 203322
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:21 +0900] "GET /miamiburger/images/hunburger1.jpg HTTP/1.1" 200 4859082
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:56 +0900] "GET /miamiburger/CreateBurgerAction.action HTTP/1.1" 200 14496
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:56 +0900] "GET /miamiburger/css/createBurger.css HTTP/1.1" 200 5766
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:56 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:56 +0900] "GET /miamiburger/images/hukidashi.png HTTP/1.1" 200 101619
0:0:0:0:0:0:0:1 - - [21/May/2018:14:09:56 +0900] "GET /miamiburger/images/cook.png HTTP/1.1" 200 104352
0:0:0:0:0:0:0:1 - - [21/May/2018:14:10:00 +0900] "GET /miamiburger/images/paty.png HTTP/1.1" 200 4997676
0:0:0:0:0:0:0:1 - - [21/May/2018:14:10:05 +0900] "GET /miamiburger/CreateBurgerAction.action HTTP/1.1" 200 14496
0:0:0:0:0:0:0:1 - - [21/May/2018:14:10:05 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:10:06 +0900] "GET /miamiburger/LoginAction.action HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [21/May/2018:14:10:06 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:10:06 +0900] "GET /miamiburger/css/login.css HTTP/1.1" 200 1706
0:0:0:0:0:0:0:1 - - [21/May/2018:14:10:20 +0900] "GET /miamiburger/LoginAction.action HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [21/May/2018:14:10:20 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:28 +0900] "GET /miamiburger/ProductInfoAction.action HTTP/1.1" 200 12564
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:28 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:30 +0900] "GET /miamiburger/CartAction.action HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:30 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:31 +0900] "GET /miamiburger/HomeAction.action HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:31 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:41 +0900] "GET /miamiburger/LoginAction.action HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:41 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:41 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:41 +0900] "GET /miamiburger/images/burger.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:54 +0900] "POST /miamiburger/GoLoginAction.action HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:54 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:56 +0900] "GET /miamiburger/MyPageAction.action HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [21/May/2018:14:11:56 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:19:17 +0900] "GET /miamiburger/MyPageAction.action HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [21/May/2018:14:19:17 +0900] "GET /miamiburger/dummy.png HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:19:17 +0900] "GET /miamiburger/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:19:17 +0900] "GET /miamiburger/images/burger.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:19:19 +0900] "GET /miamiburger/images/search.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:14:20:55 +0900] "GET /miamiburger/MyPageAction.action HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [21/May/2018:14:20:55 +0900] "GET /miamiburger/css/miamiburger.css HTTP/1.1" 304 -
